INFO  [main] org.audiveris.omr.Main:250 | Running in batch mode
WARN  [main] o.a.omr.text.tesseract.Languages:142 | *** No installed OCR languages ***
INFO  [main] o.audiveris.omr.sheet.AliasPatterns:146 | Alias patterns: [(IMSLP[0-9]*)-.*]
INFO  [main] org.audiveris.omr.Main:193 | Submitting 1 task(s) in sequence:
    Book "C:\Users\ken\RockSmithTabConvertToMidi\.cache\page_010\omr_chords\CRASH COMPLEXION_p010.omr"
INFO  [main] org.audiveris.omr.sheet.Book:2965 | Loading book C:\Users\ken\RockSmithTabConvertToMidi\.cache\page_010\omr_chords\CRASH COMPLEXION_p010.omr
DEBUG [main] org.audiveris.omr.sheet.BookManager:162 | addBook Book{CRASH COMPLEXION_p010}
DEBUG [main] org.audiveris.omr.sheet.Book:1917 | reachStep PAGE force:false stubs:[Stub#1] swap:true
INFO  [main] org.audiveris.omr.sheet.Book:1929 | Book reaching PAGE on sheets:[#1]
DEBUG [main] org.audiveris.omr.sheet.SheetStub:1370 | reachStep obtained lock on Stub#1
DEBUG [main] org.audiveris.omr.sheet.SheetStub:1389 | Sheet#1 scheduling [SYMBOLS, LINKS, RHYTHMS, PAGE]
INFO  [main] o.a.omr.step.ui.StepMonitoring:98 | SYMBOLS
DEBUG [main] org.audiveris.omr.sheet.SheetStub:1403 | reachStep SYMBOLS towards PAGE
DEBUG [main] org.audiveris.omr.sheet.Picture:162 | Picture unmarshalled by JAXB
DEBUG [main] org.audiveris.omr.sheet.Sheet:1657 | Sheet unmarshalled
DEBUG [main] org.audiveris.omr.sheet.Sheet:1220 | Sheet#1 initTransients
DEBUG [main] org.audiveris.omr.sheet.DataHolder:144 | path: /sheet#1/BINARY.png
DEBUG [main] org.audiveris.omr.sheet.DataHolder:151 | Loaded /sheet#1/BINARY.png
DEBUG [main] org.audiveris.omr.sheet.DataHolder:294 | ImageHolder{BINARY.png discarded:false hasNoData:false modified:false data:BufferedImage@bc09d57: type = 10 ColorModel: #pixelBits = 8 numComponents = 1 color space = java.awt.color.ICC_ColorSpace@6d963d70 transparency = 1 has alpha = false isAlphaPre = false ByteInterleavedRaster: width = 2300 height = 3170 #numDataElements 1 dataOff[0] = 0} setModified:false
DEBUG [main] org.audiveris.omr.sheet.Picture:692 | BINARY source built as ip[width=2300, height=3170, bits=8, min=0.0, max=255.0]
DEBUG [main] org.audiveris.omr.sheet.Picture:692 | NO_STAFF source built as ip[width=2300, height=3170, bits=8, min=0.0, max=255.0]
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#1 sideBars:{LEFT=BarlineInter#4{ FROZEN(0.775/0.933) staff:1 THIN_BARLINE}, RIGHT=BarlineInter#12{ FROZEN(0.753/0.753) staff:1 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#2 sideBars:{LEFT=BarlineInter#14{ FROZEN(0.780/0.962) staff:2 THIN_BARLINE}, RIGHT=BarlineInter#22{ FROZEN(0.788/0.937) staff:2 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#3 sideBars:{LEFT=BarlineInter#24{ FROZEN(0.796/0.965) staff:3 THIN_BARLINE}, RIGHT=BarlineInter#31{ FROZEN(0.788/0.937) staff:3 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#4 sideBars:{LEFT=BarlineInter#35{ FROZEN(0.784/0.963) staff:4 THIN_BARLINE}, RIGHT=BarlineInter#43{ FROZEN(0.745/0.921) staff:4 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#5 sideBars:{LEFT=BarlineInter#47{ FROZEN(0.792/0.964) staff:5 THIN_BARLINE}, RIGHT=BarlineInter#54{ FROZEN(0.784/0.933) staff:5 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#6 sideBars:{LEFT=BarlineInter#58{ FROZEN(0.776/0.961) staff:6 THIN_BARLINE}, RIGHT=BarlineInter#66{ FROZEN(0.762/0.762) staff:6 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#7 sideBars:{LEFT=BarlineInter#70{ FROZEN(0.792/0.964) staff:7 THIN_BARLINE}, RIGHT=BarlineInter#78{ FROZEN(0.778/0.778) staff:7 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#8 sideBars:{LEFT=BarlineInter#82{ FROZEN(0.784/0.938) staff:8 THIN_BARLINE}, RIGHT=BarlineInter#90{ FROZEN(0.780/0.780) staff:8 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#9 sideBars:{LEFT=BarlineInter#94{ FROZEN(0.783/0.935) staff:9 THIN_BARLINE}, RIGHT=BarlineInter#100{ FROZEN(0.770/0.770) staff:9 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#10 sideBars:{LEFT=BarlineInter#103{ FROZEN(0.771/0.960) staff:10 THIN_BARLINE}, RIGHT=BarlineInter#109{ FROZEN(0.784/0.936) staff:10 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#11 sideBars:{LEFT=BarlineInter#112{ FROZEN(0.792/0.964) staff:11 THIN_BARLINE}, RIGHT=BarlineInter#118{ FROZEN(0.796/0.940) staff:11 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#12 sideBars:{LEFT=BarlineInter#122{ FROZEN(0.780/0.962) staff:12 THIN_BARLINE}, RIGHT=BarlineInter#128{ FROZEN(0.784/0.936) staff:12 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#13 sideBars:{LEFT=BarlineInter#132{ FROZEN(0.792/0.964) staff:13 THIN_BARLINE}, RIGHT=BarlineInter#138{ FROZEN(0.796/0.939) staff:13 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#14 sideBars:{LEFT=BarlineInter#142{ FROZEN(0.780/0.962) staff:14 THIN_BARLINE}, RIGHT=BarlineInter#148{ FROZEN(0.775/0.775) staff:14 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#15 sideBars:{LEFT=BarlineInter#152{ FROZEN(0.792/0.964) staff:15 THIN_BARLINE}, RIGHT=BarlineInter#158{ FROZEN(0.783/0.783) staff:15 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#16 sideBars:{LEFT=BarlineInter#162{ FROZEN(0.780/0.936) staff:16 THIN_BARLINE}, RIGHT=BarlineInter#168{ FROZEN(0.780/0.780) staff:16 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#17 sideBars:{LEFT=BarlineInter#172{ FROZEN(0.769/0.930) staff:17 THIN_BARLINE}, RIGHT=BarlineInter#176{ FROZEN(0.792/0.792) staff:17 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#18 sideBars:{LEFT=BarlineInter#180{ FROZEN(0.765/0.958) staff:18 THIN_BARLINE}, RIGHT=BarlineInter#184{ FROZEN(0.780/0.935) staff:18 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#19 sideBars:{LEFT=BarlineInter#188{ FROZEN(0.792/0.963) staff:19 THIN_BARLINE}, RIGHT=BarlineInter#192{ FROZEN(0.796/0.939) staff:19 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#20 sideBars:{LEFT=BarlineInter#196{ FROZEN(0.779/0.961) staff:20 THIN_BARLINE}, RIGHT=BarlineInter#200{ FROZEN(0.784/0.936) staff:20 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#21 sideBars:{LEFT=BarlineInter#204{ FROZEN(0.796/0.965) staff:21 THIN_BARLINE}, RIGHT=BarlineInter#208{ FROZEN(0.796/0.940) staff:21 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#22 sideBars:{LEFT=BarlineInter#210{ FROZEN(0.780/0.962) staff:22 THIN_BARLINE}, RIGHT=BarlineInter#214{ FROZEN(0.784/0.784) staff:22 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#23 sideBars:{LEFT=BarlineInter#218{ FROZEN(0.787/0.963) staff:23 THIN_BARLINE}, RIGHT=BarlineInter#222{ FROZEN(0.784/0.784) staff:23 THIN_BARLINE}}
DEBUG [main] org.audiveris.omr.sheet.Staff:1975 | Staff#24 sideBars:{LEFT=BarlineInter#226{ FROZEN(0.780/0.935) staff:24 THIN_BARLINE}, RIGHT=BarlineInter#230{ FROZEN(0.780/0.780) staff:24 THIN_BARLINE}}
INFO  [main] org.audiveris.omr.sheet.SheetStub:1000 | Loaded /sheet#1/sheet#1.xml
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsFilter:182 | SymbolsFilter running...
DEBUG [cachedLow-thread-1] org.audiveris.omr.sheet.Picture:692 | BINARY source built as ip[width=2300, height=3170, bits=8, min=0.0, max=255.0]
DEBUG [cachedLow-thread-1] org.audiveris.omr.sheet.Picture:692 | NO_STAFF source built as ip[width=2300, height=3170, bits=8, min=0.0, max=255.0]
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsFilter:135 | Symbol glyphs: 765

org.audiveris.omr.sheet.symbol.SymbolsBuilder$Parameters :
   maxGap=13.600000000000001
   maxSymbolWidth=68
   maxSymbolHeight=170
   smallChordMargin=17
   minWeight=9
   minFineWeight=2
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:155 | System#1 buildSymbols
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:321 | symbols sets: 105
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 5
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5466 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6186 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6187 [SYMBOL]}
